Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,5565,32.040,43.192,0.485,0.697,0.682
Part_2,5621,33.136,44.775,0.470,0.686,0.675
Part_3,5615,32.291,42.534,0.496,0.704,0.684
Part_4,5567,33.478,45.484,0.453,0.673,0.663
Part_5,5616,33.027,44.618,0.491,0.701,0.690
Mean,5596,32.794,44.121,0.479,0.692,0.679
Std,,0.604,1.216,0.018,0.013,0.010
