Split,N_val,MAE,RMSE,R2,Pearson_R,Spearman_R
Part_1,5408,23.378,33.464,0.710,0.843,0.838
Part_2,5409,23.226,33.677,0.707,0.841,0.841
Part_3,5409,23.280,33.620,0.710,0.843,0.843
Part_4,5409,23.232,33.574,0.708,0.841,0.843
Part_5,5409,23.397,33.776,0.709,0.842,0.843
Mean,5408,23.303,33.622,0.709,0.842,0.842
Std,,0.081,0.116,0.001,0.001,0.002
